id,label,timeset,modularity_class,componentnumber,strongcompnum,weighted indegree,weighted outdegree,weighted degree,indegree,outdegree,degree,clustering
0,perdie,,0,0,38,0.0,5.0,5.0,0,5,5,0.5
1,jailer,,1,0,43,0.0,52.0,52.0,0,29,29,0.48645320534706116
2,epidaurus,,1,0,44,0.0,5.0,5.0,0,5,5,0.5
3,balthasar,,1,0,42,1.0,53.0,54.0,1,27,28,0.5
4,dost,,0,0,45,0.0,41.0,41.0,0,11,11,0.5
5,first merchant,,1,0,41,2.0,39.0,41.0,2,28,30,0.45862069725990295
6,syracuse,,0,0,40,10.0,928.0,938.0,4,30,34,0.3921568691730499
7,antipholus,,0,0,39,137.0,796.0,933.0,5,34,39,0.31443995237350464
8,ephesus,,0,0,37,130.0,685.0,815.0,7,33,40,0.3044871687889099
10,epidamium,,1,0,35,5.0,18.0,23.0,5,12,17,0.40441176295280457
12,hast,,0,0,33,23.0,46.0,69.0,5,13,18,0.5
13,pinch,,1,0,32,25.0,66.0,91.0,7,21,28,0.5
14,spake,,0,0,31,5.0,10.0,15.0,3,6,9,0.4305555522441864
15,ciceley,,0,0,30,2.0,5.0,7.0,2,5,7,0.5
16,messenger,,1,0,29,14.0,28.0,42.0,8,20,28,0.5
18,duke,,1,0,27,48.0,82.0,130.0,11,21,32,0.4183467626571655
19,dr,,0,0,25,657.0,617.0,1274.0,19,23,42,0.28164923191070557
21,second merchant,,1,0,23,25.0,45.0,70.0,13,16,29,0.47413793206214905
22,abbess,,1,0,22,35.0,25.0,60.0,16,14,30,0.4632183909416199
23,syracusian,,1,0,21,15.0,6.0,21.0,8,2,10,0.4555555582046509
24,luce,,1,0,20,35.0,20.0,55.0,16,13,29,0.48645320534706116
25,menaphon,,0,0,26,4.0,1.0,5.0,4,1,5,0.5
26,egeon,,1,0,19,58.0,27.0,85.0,21,13,34,0.3948306739330292
27,lady abbess,,1,0,18,21.0,12.0,33.0,17,11,28,0.5
28,luciana,,1,0,17,55.0,35.0,90.0,20,10,30,0.46206897497177124
29,solinus,,1,0,16,27.0,10.0,37.0,19,9,28,0.5
30,shouldst,,0,0,15,3.0,1.0,4.0,3,1,4,0.5
31,courtesan,,1,0,14,51.0,19.0,70.0,20,8,28,0.5
33,officer,,1,0,12,94.0,40.0,134.0,23,6,29,0.48645320534706116
34,ginn,,0,0,11,5.0,2.0,7.0,5,2,7,0.5
36,belgia,,0,0,9,4.0,0.0,4.0,4,0,4,0.5
37,merchant,,1,0,8,134.0,17.0,151.0,27,5,32,0.42943549156188965
38,nell,,1,0,7,29.0,4.0,33.0,25,3,28,0.5
39,syracusa,,1,0,6,20.0,0.0,20.0,12,0,12,0.4166666567325592
40,certes,,0,0,5,4.0,1.0,5.0,4,1,5,0.5
41,dromio,,0,0,4,1013.0,19.0,1032.0,35,3,38,0.327169269323349
42,angelo,,1,0,3,113.0,3.0,116.0,29,2,31,0.43870967626571655
43,gillian,,0,0,1,7.0,0.0,7.0,7,0,7,0.5
44,pleaseth,,0,0,2,2.0,0.0,2.0,2,0,2,0.5
45,adriana,,0,0,0,257.0,0.0,257.0,33,0,33,0.40435606241226196
