source,weight,target
0,1,8
0,1,11
0,1,17
0,1,19
0,1,41
1,1,3
1,1,5
1,2,6
1,3,7
1,5,8
1,1,11
1,1,12
1,1,13
1,1,16
1,4,17
1,3,18
1,2,19
1,2,20
1,1,21
1,1,22
1,1,24
1,3,26
1,1,27
1,1,28
1,2,29
1,1,31
1,1,32
1,2,33
1,3,35
1,3,37
1,1,38
1,1,41
1,1,42
1,2,45
2,1,10
2,1,19
2,1,26
2,1,32
2,1,39
3,1,5
3,1,6
3,5,7
3,5,8
3,1,11
3,2,13
3,1,16
3,5,17
3,1,18
3,3,19
3,1,20
3,2,21
3,1,22
3,1,24
3,1,26
3,1,27
3,1,28
3,1,29
3,1,31
3,2,32
3,2,33
3,5,35
3,3,37
3,1,38
3,2,41
3,2,42
3,1,45
4,5,6
4,6,7
4,2,8
4,2,11
4,2,17
4,5,19
4,5,20
4,2,26
4,6,35
4,3,41
4,3,45
5,2,6
5,2,7
5,1,8
5,1,10
5,2,11
5,1,13
5,1,16
5,1,17
5,1,18
5,2,19
5,2,20
5,1,21
5,1,22
5,1,23
5,1,24
5,1,26
5,1,27
5,1,28
5,1,29
5,1,31
5,1,32
5,1,33
5,2,35
5,5,37
5,1,38
5,2,41
5,1,42
5,1,45
6,121,7
6,10,8
6,2,9
6,1,10
6,115,11
6,6,12
6,3,13
6,2,14
6,1,16
6,9,17
6,4,18
6,136,19
6,227,20
6,1,21
6,2,22
6,2,24
6,4,26
6,1,27
6,3,28
6,2,29
6,2,31
6,3,32
6,7,33
6,117,35
6,1,36
6,7,37
6,2,38
6,128,41
6,3,42
6,6,45
7,106,8
7,4,9
7,1,10
7,18,11
7,8,12
7,6,13
7,1,14
7,2,16
7,105,17
7,11,18
7,64,19
7,120,20
7,3,21
7,3,22
7,1,23
7,4,24
7,1,25
7,6,26
7,1,27
7,7,28
7,1,29
7,1,30
7,7,31
7,5,32
7,11,33
7,214,35
7,1,36
7,8,37
7,1,38
7,2,39
7,42,41
7,17,42
7,1,44
7,13,45
8,4,9
8,1,10
8,79,11
8,5,12
8,7,13
8,1,15
8,4,16
8,183,17
8,13,18
8,102,19
8,9,20
8,3,21
8,1,22
8,3,23
8,5,24
8,1,25
8,7,26
8,1,27
8,3,28
8,2,29
8,5,31
8,2,32
8,10,33
8,1,34
8,104,35
8,12,37
8,1,38
8,2,39
8,1,40
8,88,41
8,13,42
8,1,43
8,11,45
9,3,11
9,4,17
9,7,19
9,2,20
9,1,22
9,2,26
9,3,35
9,4,41
9,2,42
9,3,45
10,1,11
10,1,17
10,5,19
10,1,20
10,1,22
10,1,23
10,1,26
10,1,32
10,1,35
10,1,37
10,1,39
10,3,41
11,3,12
11,5,13
11,2,14
11,1,15
11,3,16
11,79,17
11,2,18
11,189,19
11,115,20
11,1,21
11,2,22
11,3,24
11,1,26
11,1,27
11,2,28
11,1,29
11,4,31
11,1,32
11,6,33
11,1,34
11,12,35
11,4,37
11,2,38
11,1,40
11,189,41
11,2,42
11,1,43
11,8,45
12,4,17
12,1,18
12,10,19
12,6,20
12,1,24
12,2,26
12,2,28
12,1,33
12,7,35
12,1,37
12,5,41
12,1,42
12,5,45
13,1,16
13,7,17
13,1,18
13,10,19
13,3,20
13,2,21
13,1,22
13,1,24
13,1,26
13,1,27
13,3,28
13,1,29
13,3,31
13,2,32
13,5,33
13,5,35
13,3,37
13,1,38
13,6,41
13,2,42
13,7,45
14,3,19
14,2,20
14,1,28
14,1,30
14,2,41
14,1,45
15,1,17
15,1,19
15,1,34
15,1,41
15,1,43
16,4,17
16,1,18
16,3,19
16,1,20
16,1,21
16,1,22
16,1,24
16,1,26
16,1,27
16,1,28
16,1,29
16,1,31
16,1,32
16,1,33
16,2,35
16,1,37
16,1,38
16,3,41
16,1,42
16,1,45
17,10,18
17,102,19
17,8,20
17,3,21
17,1,22
17,1,23
17,5,24
17,1,25
17,5,26
17,1,27
17,3,28
17,2,29
17,5,31
17,2,32
17,10,33
17,1,34
17,103,35
17,10,37
17,1,38
17,2,39
17,1,40
17,88,41
17,12,42
17,1,43
17,11,45
18,11,19
18,4,20
18,2,21
18,7,22
18,6,23
18,1,24
18,1,25
18,5,26
18,2,27
18,3,28
18,2,29
18,2,31
18,2,32
18,3,33
18,7,35
18,7,37
18,1,38
18,3,39
18,4,41
18,2,42
18,7,45
19,135,20
19,4,21
19,9,22
19,1,23
19,5,24
19,7,26
19,2,27
19,16,28
19,1,29
19,1,30
19,7,31
19,5,32
19,9,33
19,1,34
19,51,35
19,10,37
19,2,38
19,2,39
19,1,40
19,241,41
19,5,42
19,1,43
19,101,45
20,1,21
20,2,22
20,2,24
20,4,26
20,1,27
20,3,28
20,2,29
20,2,31
20,3,32
20,7,33
20,116,35
20,1,36
20,6,37
20,2,38
20,128,41
20,3,42
20,6,45
21,1,22
21,1,23
21,1,24
21,1,26
21,1,27
21,1,28
21,1,29
21,1,31
21,3,32
21,6,33
21,3,35
21,17,37
21,1,38
21,1,41
21,5,42
21,1,45
22,1,24
22,2,26
22,3,27
22,1,28
22,1,29
22,1,31
22,2,32
22,1,33
22,2,35
22,1,37
22,1,38
22,3,41
22,1,42
22,5,45
23,4,37
23,2,39
24,1,26
24,1,27
24,1,28
24,1,29
24,1,31
24,1,32
24,1,33
24,4,35
24,1,37
24,1,38
24,4,41
24,1,42
24,2,45
25,1,35
26,1,27
26,1,28
26,3,29
26,1,31
26,2,32
26,2,33
26,4,35
26,4,37
26,1,38
26,2,39
26,4,41
26,1,42
26,1,45
27,1,28
27,1,29
27,1,31
27,1,32
27,1,33
27,1,35
27,1,37
27,1,38
27,1,41
27,1,42
27,2,45
28,1,29
28,4,31
28,3,32
28,2,33
28,4,35
28,2,37
28,1,38
28,5,41
28,1,42
28,12,45
29,1,31
29,1,32
29,1,33
29,1,35
29,2,37
29,1,38
29,1,41
29,1,42
29,1,45
30,1,45
31,1,32
31,2,33
31,4,35
31,1,37
31,1,38
31,4,41
31,1,42
31,5,45
32,3,33
32,4,35
32,3,37
32,1,38
32,1,39
32,1,41
32,2,42
32,2,45
33,9,35
33,9,37
33,1,38
33,6,41
33,8,42
33,7,45
34,1,41
34,1,43
35,1,36
35,8,37
35,1,38
35,1,39
35,33,41
35,13,42
35,10,45
37,1,38
37,1,39
37,5,41
37,7,42
37,3,45
38,2,41
38,1,42
38,1,45
40,1,41
41,3,42
41,1,43
41,15,45
42,1,44
42,2,45
