id,label,timeset,modularity_class,weighted indegree,weighted outdegree,weighted degree,componentnumber,strongcompnum,indegree,outdegree,degree
0,tubal,,0,0.0,14.0,14.0,0,32,0,6,6
3,antonio,,0,10.0,106.0,116.0,0,31,2,22,24
21,leah,,0,1.0,1.0,2.0,0,16,1,1,2
24,chus,,0,2.0,1.0,3.0,0,15,2,1,3
25,jessica,,1,24.0,42.0,66.0,0,14,11,11,22
32,hast,,0,21.0,12.0,33.0,0,6,11,5,16
41,shylock,,0,60.0,7.0,67.0,0,2,18,2,20
1,balthazar,,2,0.0,75.0,75.0,0,33,0,12,12
8,duke,,0,15.0,29.0,44.0,0,28,4,13,17
14,doth,,2,21.0,41.0,62.0,0,25,7,11,18
27,bassanio,,0,75.0,55.0,130.0,0,13,13,9,22
28,lorenzo,,1,66.0,24.0,90.0,0,12,12,7,19
31,messenger,,1,10.0,1.0,11.0,0,10,7,1,8
34,bellario,,2,15.0,5.0,20.0,0,9,8,3,11
37,nerissa,,2,38.0,27.0,65.0,0,5,16,2,18
44,portia,,2,159.0,0.0,159.0,0,1,19,0,19
2,lancelet,,1,0.0,43.0,43.0,0,35,0,8,8
6,margery,,1,2.0,2.0,4.0,0,34,1,2,3
43,gobbo,,1,19.0,0.0,19.0,0,4,6,0,6
4,salerio,,0,3.0,21.0,24.0,0,30,1,9,10
5,consisteth,,0,1.0,2.0,3.0,0,29,1,2,3
10,gratiano,,0,13.0,53.0,66.0,0,27,3,11,14
12,colchos,,0,1.0,3.0,4.0,0,26,1,3,4
15,rialto,,0,1.0,6.0,7.0,0,22,1,3,4
19,cato,,0,2.0,2.0,4.0,0,20,2,2,4
26,solanio,,0,9.0,12.0,21.0,0,19,4,5,9
35,servingman,,0,3.0,3.0,6.0,0,18,3,3,6
38,goodwins,,0,1.0,1.0,2.0,0,17,1,1,2
39,salarino,,0,28.0,0.0,28.0,0,8,9,0,9
7,montferrat,,2,0.0,1.0,1.0,0,36,0,1,1
9,arragon,,2,0.0,4.0,4.0,0,37,0,3,3
46,leonardo,,0,5.0,0.0,5.0,0,3,3,0,3
11,cressid,,1,0.0,2.0,2.0,0,38,0,2,2
36,troilus,,1,2.0,0.0,2.0,0,11,2,0,2
13,gramercy,,0,0.0,1.0,1.0,0,39,0,1,1
20,stephano,,1,2.0,4.0,6.0,0,24,1,3,4
33,endymion,,2,1.0,1.0,2.0,0,23,1,1,2
40,nazarite,,0,1.0,1.0,2.0,0,21,1,1,2
16,morocco,,2,0.0,10.0,10.0,0,42,0,5,5
22,solyman,,2,1.0,1.0,2.0,0,41,1,1,2
30,lychas,,2,2.0,0.0,2.0,0,40,2,0,2
17,barabbas,,0,0.0,1.0,1.0,0,43,0,1,1
18,aeson,,1,0.0,1.0,1.0,0,44,0,1,1
23,hagar,,0,0.0,1.0,1.0,0,45,0,1,1
42,thisbe,,1,1.0,0.0,1.0,0,7,1,0,1
29,falconbridge,,2,0.0,1.0,1.0,0,46,0,1,1
45,abram,,0,2.0,0.0,2.0,0,0,1,0,1
